state,city,total
New Hampshire,Claremont,47
New Hampshire,Colebrook,0
New Hampshire,Concord,93
New Hampshire,Contoocook,0
New Hampshire,Conway,28
New Hampshire,Cornish,0
New Hampshire,Cornish Flat,0
New Hampshire,Danbury,44
New Hampshire,Danville,44
New Hampshire,Deerfield,1
New Hampshire,Derry,2
New Hampshire,Dover,5
New Hampshire,Drewsville,0
New Hampshire,Dublin,21
New Hampshire,Dunbarton,1
New Hampshire,Durham,0
New Hampshire,East Andover,0
New Hampshire,East Candia,0
New Hampshire,East Derry,0
New Hampshire,East Hampstead,0
New Hampshire,East Kingston,0
New Hampshire,East Wakefield,0
New Hampshire,Eaton Center,0
New Hampshire,Effingham,0
New Hampshire,Elkins,0
New Hampshire,Enfield,15
New Hampshire,Enfield Center,0
New Hampshire,Epping,1
New Hampshire,Epsom,2
New Hampshire,Errol,0
New Hampshire,Etna,0
New Hampshire,Exeter,18
New Hampshire,Farmington,5
New Hampshire,Fitzwilliam,0
New Hampshire,Francestown,1
New Hampshire,Franconia,3
New Hampshire,Franklin,2
New Hampshire,Freedom,0
New Hampshire,Fremont,24
New Hampshire,Georges Mills,0
New Hampshire,Gilford,1
New Hampshire,Gilmanton,0
New Hampshire,Gilmanton Iron Works,0
New Hampshire,Gilsum,0
New Hampshire,Glen,0
New Hampshire,Glencliff,1
New Hampshire,Goffstown,4
New Hampshire,Gorham,7
New Hampshire,Goshen,15
New Hampshire,Grafton,0
New Hampshire,Grantham,0
New Hampshire,Greenfield,6
New Hampshire,Greenland,0
New Hampshire,Greenville,20
New Hampshire,Groveton,1
New Hampshire,Guild,0
New Hampshire,Hampstead,7
New Hampshire,Hampton,0
New Hampshire,Hampton Falls,2
New Hampshire,Hancock,10
New Hampshire,Hanover,28
New Hampshire,Harrisville,1
New Hampshire,Haverhill,1
New Hampshire,Hebron,0
New Hampshire,Henniker,1
New Hampshire,Hill,0
New Hampshire,Hillsboro,1
New Hampshire,Hillsborough,10
New Hampshire,Hinsdale,0
New Hampshire,Holderness,0
New Hampshire,Hollis,3
New Hampshire,Hooksett,1
New Hampshire,Hudson,13
New Hampshire,Intervale,0
New Hampshire,Jackson,15
New Hampshire,Jaffrey,1
New Hampshire,Jefferson,0
New Hampshire,Kearsarge,0
New Hampshire,Keene,0
New Hampshire,Kingston,5
New Hampshire,Laconia,0
New Hampshire,Lancaster,107
New Hampshire,Lebanon,10
New Hampshire,Lee,7
New Hampshire,Lempster,0
New Hampshire,Lincoln,0
New Hampshire,Lisbon,8
New Hampshire,Litchfield,0
New Hampshire,Littleton,71
New Hampshire,Lochmere,0
New Hampshire,Londonderry,0
New Hampshire,Loudon,9
New Hampshire,Lyme,0
New Hampshire,Lyme Center,0
New Hampshire,Lyndeborough,0
New Hampshire,Madbury,1
New Hampshire,Madison,138
New Hampshire,Manchester,0
New Hampshire,Marlborough,0
New Hampshire,Marlow,0
New Hampshire,Melvin Village,0
New Hampshire,Meredith,11
New Hampshire,Meriden,19
New Hampshire,Merrimack,11
New Hampshire,Milan,0
New Hampshire,Milford,3
New Hampshire,Milton,5
New Hampshire,Milton Mills,0
New Hampshire,Mirror Lake,0
New Hampshire,Monroe,16
New Hampshire,Mont Vernon,2
New Hampshire,Moultonborough,1
New Hampshire,Nashua,47
New Hampshire,Nelson,0
New Hampshire,New Boston,1
New Hampshire,New Castle,20
New Hampshire,New Durham,0
New Hampshire,New Hampton,5
New Hampshire,New Ipswich,2
New Hampshire,New London,10
New Hampshire,Newbury,1
New Hampshire,Newfields,0
New Hampshire,Newington,15
New Hampshire,Newmarket,3
New Hampshire,Newport,9
New Hampshire,Newton,44
New Hampshire,Newton Junction,0
New Hampshire,North Conway,9
New Hampshire,North Hampton,2
New Hampshire,North Haverhill,3
New Hampshire,North Salem,0
New Hampshire,North Sandwich,0
New Hampshire,North Stratford,0
New Hampshire,North Sutton,0
New Hampshire,North Walpole,0
New Hampshire,North Woodstock,1
New Hampshire,Northwood,1
New Hampshire,Nottingham,11
New Hampshire,Orford,0
New Hampshire,Ossipee,2
New Hampshire,Pelham,4
New Hampshire,Pembroke,2
New Hampshire,Peterborough,14
New Hampshire,Piermont,0
New Hampshire,Pike,0
New Hampshire,Pittsburg,17
New Hampshire,Pittsfield,41
New Hampshire,Plainfield,6
New Hampshire,Plaistow,0
New Hampshire,Plymouth,30
New Hampshire,Portsmouth,31
New Hampshire,Raymond,1
New Hampshire,Rindge,0
New Hampshire,Rochester,1
New Hampshire,Rockingham,0
New Hampshire,Rollinsford,0
New Hampshire,Rumney,0
New Hampshire,Rye,9
New Hampshire,Rye Beach,0
New Hampshire,Salem,4
New Hampshire,Salisbury,44
New Hampshire,Sanbornton,1
New Hampshire,Sanbornville,1
New Hampshire,Sandown,5
New Hampshire,Seabrook,0
New Hampshire,Silver Lake,0
New Hampshire,Somersworth,6
New Hampshire,South Acworth,0
New Hampshire,South Newbury,0
New Hampshire,South Sutton,0
New Hampshire,South Tamworth,0
New Hampshire,Spofford,0
New Hampshire,Springfield,91
New Hampshire,Stinson Lake,0
New Hampshire,Stoddard,0
New Hampshire,Strafford,0
New Hampshire,Stratham,0
New Hampshire,Sugar Hill,5
New Hampshire,Sullivan,1
New Hampshire,Sunapee,1
New Hampshire,Suncook,0
New Hampshire,Swanzey,2
New Hampshire,Tamworth,2
New Hampshire,Temple,47
New Hampshire,Thornton,0
New Hampshire,Tilton,3
New Hampshire,Troy,3
New Hampshire,Twin Mountain,0
New Hampshire,Union,12
New Hampshire,Unity,1
New Hampshire,Walpole,7
New Hampshire,Warner,2
New Hampshire,Warren,9
New Hampshire,Washington,12
New Hampshire,Waterville Valley,0
New Hampshire,Weare,0
New Hampshire,Wentworth,0
New Hampshire,West Chesterfield,0
New Hampshire,West Lebanon,6
New Hampshire,West Nottingham,0
New Hampshire,West Ossipee,2
New Hampshire,West Peterborough,0
New Hampshire,West Stewartstown,1
New Hampshire,West Swanzey,0
New Hampshire,Westmoreland,3
New Hampshire,Whitefield,0
New Hampshire,Wilmot,0
New Hampshire,Wilton,10
New Hampshire,Winchester,37
New Hampshire,Windham,0
New Hampshire,Winnisquam,0
New Hampshire,Wolfeboro,9
New Hampshire,Wolfeboro Falls,0
New Hampshire,Wonalancet,0
New Hampshire,Woodstock,16
New Hampshire,Woodsville,1
North Dakota,Bismarck,39
North Dakota,Dickinson,12
North Dakota,Fargo,0
North Dakota,Grand Forks,29
North Dakota,Mandan,15
North Dakota,Valley City,0
North Dakota,West Fargo,11
New Mexico,Alamogordo,8
New Mexico,Albuquerque,276
New Mexico,Algodones,0
New Mexico,Anthony,1
New Mexico,Artesia,16
New Mexico,Belen,6
New Mexico,Bernalillo,1
New Mexico,Bosque Farms,0
New Mexico,Broadview,1
New Mexico,Cannon Afb,0
New Mexico,Caprock,0
New Mexico,Carlsbad,29
New Mexico,Causey,0
New Mexico,Cedar Crest,2
New Mexico,Cerrillos,0
New Mexico,Chamberino,0
New Mexico,Chaparral,0
New Mexico,Clovis,28
New Mexico,Cochiti Lake,0
New Mexico,Corrales,0
New Mexico,Crossroads,0
New Mexico,Deming,0
New Mexico,Dora,0
New Mexico,Edgewood,5
New Mexico,Elida,0
New Mexico,Eunice,9
New Mexico,Farmington,5
New Mexico,Floyd,1
New Mexico,Fort Sumner,1
New Mexico,Garfield,0
New Mexico,Glorieta,0
New Mexico,Grady,0
New Mexico,Hatch,3
New Mexico,Hobbs,26
New Mexico,Isleta,0
New Mexico,Jal,0
New Mexico,Jarales,0
New Mexico,Jemez Pueblo,0
New Mexico,Jemez Springs,0
New Mexico,Kenna,0
New Mexico,Kirtland Afb,0
New Mexico,La Mesa,49
New Mexico,Lake Arthur,0
New Mexico,Lamy,0
New Mexico,Las Cruces,56
New Mexico,Lingo,0
New Mexico,Los Lunas,8
New Mexico,Lovington,8
New Mexico,Maljamar,0
New Mexico,Mc Donald,0
New Mexico,Mcdonald,0
New Mexico,Melrose,0
New Mexico,Mesilla Park,0
New Mexico,Mesquite,96
New Mexico,Milnesand,0
New Mexico,Monument,6
New Mexico,Pep,0
New Mexico,Peralta,0
New Mexico,Placitas,0
New Mexico,Portales,4
New Mexico,Rincon,0
New Mexico,Rio Rancho,38
New Mexico,Rogers,29
New Mexico,Roswell,45
New Mexico,Ruidoso,8
New Mexico,Saint Vrain,0
New Mexico,Salem,4
New Mexico,Sandia Park,0
New Mexico,Santa Fe,47
New Mexico,Santa Teresa,1
New Mexico,Santo Domingo Pueblo,0
New Mexico,Silver City,0
New Mexico,Stanley,0
New Mexico,Sunland Park,1
New Mexico,Taos,6
New Mexico,Tatum,0
New Mexico,Tesuque,0
New Mexico,Texico,0
New Mexico,Tijeras,0
New Mexico,Tome,0
New Mexico,Tucumcari,7
New Mexico,Vado,0
New Mexico,White Sands Missile Range,0
New Mexico,Yeso,0
Nevada,Alamo,5
Nevada,Amargosa Valley,0
Nevada,Arden,0
Nevada,Beatty,0
Nevada,Blue Diamond,0
Nevada,Bordertown,1
Nevada,Boulder City,8
Nevada,Bunkerville,0
Nevada,Cal Nev Ari,0
Nevada,Caliente,2
Nevada,Carson City,24
Nevada,Coyote Springs,0
Nevada,Crystal Bay,0
Nevada,Dayton,2
Nevada,Elko,1
Nevada,Empire,0
Nevada,Fallon,10
Nevada,Fernley,2
Nevada,Gabbs,0
Nevada,Gardnerville,9
Nevada,Genoa,2
Nevada,Gerlach,0
Nevada,Glenbrook,0
Nevada,Henderson,17
Nevada,Hiko,0
Nevada,Incline Village,0
Nevada,Indian Springs,0
Nevada,Jean,0
Nevada,Las Vegas,430
Nevada,Laughlin,1
Nevada,Logandale,0
Nevada,Manhattan,0
Nevada,Mercury,0
Nevada,Mesquite,96
Nevada,Minden,0
Nevada,Moapa,0
Nevada,N Las Vegas,3
Nevada,Nellis Afb,0
Nevada,Nixon,0
Nevada,North Las Vegas,11
Nevada,Overton,1
Nevada,Pahrump,8
Nevada,Panaca,0
Nevada,Pioche,0
Nevada,Reno,1
Nevada,Round Mountain,0
Nevada,Searchlight,0
Nevada,Silver City,12
Nevada,Silver Springs,0
Nevada,Sloan,2
Nevada,Smith,0
Nevada,Sparks,27
Nevada,Stateline,0
Nevada,Sun Valley,0
Nevada,The Lakes,0
Nevada,Tonopah,1
Nevada,Verdi,0
Nevada,Virginia City,0
Nevada,Wadsworth,0
Nevada,Washoe Valley,0
Nevada,Wellington,4
Nevada,Winnemucca,4
Nevada,Yerington,3
Nevada,Zephyr Cove,0
New York,Accord,0
North Carolina,Aberdeen,0
New York,Acra,0
New York,Adams Basin,0
New York,Adirondack,0
New York,Akron,118
New York,Albany,61
New York,Albertson,0
New York,Albion,5
New York,Alcove,0
New York,Alden,0
New York,Alplaus,0
New York,Altamont,1
New York,Amagansett,1
New York,Amawalk,0
New York,Amenia,0
New York,Amherst,5
New York,Amityville,8
New York,Amsterdam,17
New York,Ancram,0
New York,Ancramdale,0
North Carolina,Advance,0
North Carolina,Ahoskie,11
North Carolina,Alamance,0
North Carolina,Albemarle,24
North Carolina,Albertson,0
North Carolina,Alexander,0
North Carolina,Alexis,0
North Carolina,Almond,0
North Carolina,Altamahaw,0
North Carolina,Angier,7
North Carolina,Ansonville,0
North Carolina,Apex,13
North Carolina,Arapahoe,0
North Carolina,Ararat,0
North Carolina,Archdale,3
North Carolina,Arden,0
North Carolina,Ash,0
North Carolina,Asheboro,28
North Carolina,Asheville,89
North Carolina,Atkinson,0
North Carolina,Atlantic,0
North Carolina,Atlantic Beach,3
North Carolina,Aulander,0
North Carolina,Aurora,0
North Carolina,Autryville,0
New York,Angola,5
New York,Annandale On Hudson,0
New York,Appleton,59
New York,Aquebogue,0
New York,Arcade,0
New York,Arden,6
New York,Ardsley,4
New York,Ardsley On Hudson,0
New York,Argyle,3
New York,Armonk,3
New York,Arverne,4
New York,Ashland,4
New York,Astoria,10
New York,Athens,18
New York,Athol,0
New York,Athol Springs,0
North Carolina,Avon,11
North Carolina,Ayden,1
North Carolina,Badin,0
North Carolina,Bahama,0
North Carolina,Bailey,0
North Carolina,Balsam,0
North Carolina,Balsam Grove,0
North Carolina,Banner Elk,2
North Carolina,Barium Springs,0
North Carolina,Barnardsville,0
North Carolina,Barnesville,0
North Carolina,Bat Cave,0
North Carolina,Bath,0
North Carolina,Battleboro,0
North Carolina,Bayboro,1
North Carolina,Bear Creek,0
North Carolina,Beaufort,16
North Carolina,Belews Creek,0
North Carolina,Belhaven,3
North Carolina,Bellarthur,0
North Carolina,Belmont,0
North Carolina,Belvidere,3
North Carolina,Bennett,0
North Carolina,Benson,0
North Carolina,Bessemer City,0
North Carolina,Bethania,0
North Carolina,Bethel,1
New York,Atlantic Beach,3
New York,Attica,5
New York,Auburn,57
New York,Auriesville,0
New York,Austerlitz,0
New York,Averill Park,1
New York,Avon,11
New York,Babylon,4
New York,Bakers Mills,0
New York,Baldwin,0
New York,Baldwin Place,0
New York,Baldwinsville,14
New York,Ballston Lake,1
New York,Ballston Spa,5
New York,Bangall,0
New York,Barker,0
New York,Barrytown,0
New York,Batavia,12
New York,Bay Shore,14
New York,Bayport,5
New York,Bayside,7
New York,Bayville,1
New York,Beacon,8
New York,Bear Mountain,0
New York,Bearsville,0
New York,Bedford,15
New York,Bedford Hills,0
North Carolina,Beulaville,0
North Carolina,Biscoe,1
North Carolina,Black Creek,0
North Carolina,Black Mountain,8
North Carolina,Bladenboro,8
North Carolina,Blanch,1
North Carolina,Blounts Creek,0
North Carolina,Blowing Rock,0
North Carolina,Boiling Springs,4
North Carolina,Bolivia,2
North Carolina,Bolton,1
North Carolina,Bonlee,0
North Carolina,Boomer,0
North Carolina,Boone,18
North Carolina,Boonville,12
New York,Belle Harbor,2
New York,Bellerose,1
New York,Bellerose Village,1
New York,Bellmore,1
New York,Bellport,1
New York,Bellvale,0
New York,Berlin,0
New York,Berne,0
New York,Bethpage,2
New York,Big Indian,0
New York,Billings,79
New York,Binghamton,22
New York,Blauvelt,0
New York,Bliss,0
New York,Bloomfield,13
New York,Blooming Grove,0
New York,Bloomingburg,0
New York,Bloomington,61
New York,Blue Point,1
New York,Bohemia,5
New York,Boiceville,0
New York,Bolton Landing,0
New York,Boston,135
New York,Bowmansville,1
New York,Brainard,0
New York,Brant,0
New York,Brant Lake,0
New York,Breezy Point,0
New York,Brentwood,0
North Carolina,Bostic,4
North Carolina,Brevard,16
North Carolina,Bridgeton,10
North Carolina,Broadway,0
North Carolina,Browns Summit,0
North Carolina,Brunswick,18
North Carolina,Buies Creek,0
North Carolina,Bullock,0
North Carolina,Bunn,0
North Carolina,Bunnlevel,0
North Carolina,Burgaw,6
North Carolina,Burlington,9
North Carolina,Burnsville,1
North Carolina,Butner,1
North Carolina,Buxton,2
North Carolina,Bynum,0
North Carolina,Calabash,1
North Carolina,Calypso,0
North Carolina,Cameron,5
North Carolina,Camp Lejeune,0
North Carolina,Candler,1
North Carolina,Candor,2
North Carolina,Canton,31
North Carolina,Caroleen,0
North Carolina,Carolina Beach,2
North Carolina,Carrboro,5
North Carolina,Carthage,10
North Carolina,Cary,56
New York,Brewerton,5
New York,Brewster,0
New York,Briarcliff Manor,8
New York,Bridgehampton,0
New York,Bridgeport,0
New York,Brightwaters,0
New York,Broadalbin,0
New York,Brockport,5
New York,Bronx,327
New York,Bronxville,1
New York,Brookhaven,3
New York,Brooklyn,404
New York,Buchanan,0
New York,Buffalo,0
North Carolina,Casar,0
North Carolina,Castalia,0
North Carolina,Castle Hayne,1
North Carolina,Catawba,0
North Carolina,Cedar Falls,28
North Carolina,Cedar Grove,9
North Carolina,Cedar Island,0
North Carolina,Cedar Mountain,0
North Carolina,Cerro Gordo,0
North Carolina,Chadbourn,1
North Carolina,Chapel Hill,0
North Carolina,Charlotte,0
North Carolina,Cherokee,0
North Carolina,Cherry Point,0
North Carolina,Cherryville,0
North Carolina,Chimney Rock,0
North Carolina,China Grove,4
North Carolina,Chinquapin,0
North Carolina,Chocowinity,0
North Carolina,Claremont,11
North Carolina,Clarendon,3
North Carolina,Clarkton,4
North Carolina,Clayton,0
North Carolina,Clemmons,16
North Carolina,Cleveland,0
North Carolina,Cliffside,0
New Jersey,Aberdeen,0
New York,Bullville,0
New York,Burlingham,0
New York,Burnt Hills,0
New York,Burt,0
New York,Buskirk,0
New York,Cairo,5
New York,Callicoon,0
New York,Calverton,0
New York,Cambria Heights,0
New York,Cambridge,16
New York,Camillus,3
New York,Campbell Hall,1
New York,Canaan,7
New York,Canajoharie,5
New York,Canandaigua,23
New York,Canton,73
New York,Carle Place,0
New York,Carlisle,0
New York,Carmel,47
New York,Caroga Lake,0
New York,Castile,0
New York,Castle Point,1
New York,Castleton On Hudson,6
New York,Cato,0
New York,Catskill,9
New York,Cedarhurst,0
New York,Center Moriches,9
New York,Centereach,1
North Carolina,Climax,0
North Carolina,Clinton,15
North Carolina,Clyde,1
North Carolina,Coats,1
North Carolina,Cofield,0
North Carolina,Colerain,0
North Carolina,Colfax,0
North Carolina,Collettsville,0
North Carolina,Columbia,125
North Carolina,Columbus,5
North Carolina,Como,1
North Carolina,Concord,0
North Carolina,Conetoe,0
North Carolina,Connelly Spg,1
North Carolina,Connellys Springs,1
North Carolina,Conover,0
North Carolina,Conway,22
North Carolina,Cooleemee,0
North Carolina,Corapeake,0
North Carolina,Cordova,15
North Carolina,Cornelius,0
North Carolina,Council,0
North Carolina,Cove City,0
North Carolina,Cramerton,3
North Carolina,Creedmoor,1
North Carolina,Creston,1
North Carolina,Creswell,2
North Carolina,Crossnore,0
North Carolina,Crouse,0
North Carolina,Crumpler,0
New Jersey,Absecon,5
New Jersey,Adelphia,1
New Jersey,Allamuchy,0
New Jersey,Allendale,4
New Jersey,Allenhurst,0
New Jersey,Allentown,112
New Jersey,Allenwood,2
New Jersey,Alloway,0
New Jersey,Alpine,0
New Jersey,Andover,0
New Jersey,Annandale,2
New Jersey,Asbury,0
New Jersey,Asbury Park,10
New Jersey,Atco,6
New Jersey,Atlantic City,22
New Jersey,Atlantic Highlands,9
New Jersey,Audubon,3
New Jersey,Augusta,22
New Jersey,Avalon,0
New Jersey,Avenel,0
New Jersey,Avon By The Sea,1
New Jersey,Baptistown,0
New Jersey,Barnegat,4
New Jersey,Barnegat Light,0
New York,Centerport,0
New York,Central Bridge,0
New York,Central Islip,7
New York,Central Square,5
New York,Central Valley,0
New York,Chaffee,0
New York,Chappaqua,0
New York,Charlotteville,0
New York,Chatham,0
New York,Cheektowaga,23
New York,Chelsea,2
New York,Cherry Plain,0
New York,Chester,0
New York,Chestertown,12
New York,Chestnut Ridge,2
New York,Chichester,0
New York,Chittenango,1
New York,Churchville,1
New York,Cicero,3
New York,Circleville,14
New York,Clarence,4
New York,Clarence Center,3
New York,Clarendon,3
New York,Clarkson,0
New York,Clarksville,49
New York,Claverack,0
New York,Clay,0
New York,Clemons,0
New York,Cleverdale,0
North Carolina,Cumberland,0
North Carolina,Cumnock,0
North Carolina,Currie,0
North Carolina,Dallas,648
North Carolina,Dana,0
North Carolina,Danbury,0
North Carolina,Davidson,0
North Carolina,Davis,1
North Carolina,Deep Gap,0
North Carolina,Deep Run,0
North Carolina,Delco,1
North Carolina,Denton,66
North Carolina,Denver,3
North Carolina,Dobson,6
North Carolina,Dover,3
North Carolina,Drexel,0
North Carolina,Dublin,4
North Carolina,Dudley,3
North Carolina,Dunn,20
North Carolina,Durants Neck,0
North Carolina,Durham,0
North Carolina,Eagle Springs,0
North Carolina,Earl,0
North Carolina,East Bend,0
North Carolina,East Flat Rock,0
North Carolina,East Spencer,1
North Carolina,Eden,5
North Carolina,Edenton,10
North Carolina,Edneyville,0
North Carolina,Edward,0
North Carolina,Efland,0
Ohio,Aberdeen,0
Oklahoma,Achille,0
New Jersey,Barnsboro,1
New Jersey,Barrington,0
New Jersey,Basking Ridge,16
New Jersey,Bayonne,9
New Jersey,Bayville,1
New Jersey,Beach Haven,0
New Jersey,Beachwood,0
New Jersey,Bedminster,0
New Jersey,Belford,1
New Jersey,Belle Mead,0
New Jersey,Belleville,1
New Jersey,Bellmawr,1
New Jersey,Belmar,1
New Jersey,Belvidere,3
New Jersey,Bergenfield,7
New Jersey,Berkeley Heights,2
New Jersey,Berlin,9
New Jersey,Bernardsville,0
New Jersey,Beverly,1
New Jersey,Birmingham,0
New Jersey,Blackwood,5
New Jersey,Blairstown,0
New Jersey,Blawenburg,0
New Jersey,Bloomfield,0
New Jersey,Bloomingdale,2
New Jersey,Bloomsbury,0
New Jersey,Bogota,0
New York,Clifton Park,9
New York,Clifton Springs,5
New York,Climax,0
New York,Clinton Corners,0
New York,Clintondale,0
New York,Clyde,1
New York,Cobleskill,1
New York,Cochecton,0
New York,Coeymans,0
New York,Coeymans Hollow,0
New York,Cohoes,8
New York,Cold Brook,0
New York,Cold Spring,3
New York,Cold Spring Harbor,0
New York,Colden,0
New York,College Point,0
New York,Collins,5
New York,Collins Center,0
New York,Colonie,2
New York,Columbiaville,1
New York,Commack,15
New York,Comstock,0
New York,Congers,1
New York,Connelly,0
New York,Copake,0
New York,Copake Falls,0
New York,Copiague,0
New York,Coram,11
New York,Corinth,6
New York,Cornwall,4
New York,Cornwall On Hudson,0
North Carolina,Elizabeth City,21
North Carolina,Elizabethtown,15
North Carolina,Elk Park,0
North Carolina,Elkin,7
North Carolina,Ellenboro,0
North Carolina,Ellerbe,2
North Carolina,Elm City,1
North Carolina,Elon,4
North Carolina,Emerald Isle,1
North Carolina,Enfield,0
North Carolina,Enka,0
North Carolina,Ennice,0
North Carolina,Ernul,0
North Carolina,Erwin,7
North Carolina,Etowah,4
North Carolina,Eure,1
North Carolina,Everetts,0
North Carolina,Evergreen,6
North Carolina,Fair Bluff,1
North Carolina,Fairfield,2
North Carolina,Fairmont,0
North Carolina,Fairview,4
North Carolina,Faison,0
North Carolina,Faith,0
North Carolina,Falcon,0
North Carolina,Falkland,0
North Carolina,Fallston,2
North Carolina,Farmville,3
North Carolina,Fayetteville,9
Ohio,Ada,3
Ohio,Adamsville,0
Ohio,Addyston,0
Ohio,Adelphi,8
