address,description,image,location,number,seller,symbol,title,unit,url
173 South Church Street,"2 Bed/ 2 Bath
Top Floor Unit
Located in George Town
Ocean view
Fully furnished.
Available NOW
No pets
RMLS# 610Contact- Tara

Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2238113.jpg,George Town,"1,675",Tara Bernardo,$,2 BED/ 2 BATH OCEAN VIEWS- GEORGE TOWN APARTMENT,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
"Waterways,Limetree Avenue","2 Bed I 2 Bath spacious ground floor & second floor unit located in The Waterways complex. Great location – walking distance 7 Mile Beach & Governors Square. 2 minutes to Camana Bay shops at Restaurants. The units come fully furnished with tasteful furnishings. Private balcony. Pool & BBQ area, tennis courts and even somewhere to dock your boat! Pets possible. Children welcome. Available NOW & August 1st. RMLS #416.Please call Gemma on 324-9075 or email ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2238405.jpeg,Seven Mile Beach Corridor,"2,800",GemmaHaylock,$,Waterways 2 Bed I 2 Bath End unit - Includes Logic Internet & TV,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
Britannia,"Ground Floor executive renovated 3 bed unit on the Canal with Boat Dock. Turnkey, contact Paul Young at Prime Locations Cayman to view.https://www.dragonfly.ky/virtualcayman/britannia-610-2/345-936-8888 or Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2238417.jpg,Seven Mile Beach Corridor,"7,000",Primelocationscayman,$,Ground Floor Canal Fronting 3 bed Britannia with Dock,USD,https://ecaytrade.com/cayman/real-estate/for-rent
"Newlands,Newlands","Newly renovated
5 mins from Countryside
Very quiet neighborhood
Laundry on site
All inclusive light water and fibre
If interested pls contact 9221198",,Savannah/Newlands,"1,450",DealsForU,$,1bed/1bath Apt.,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
Northwest Point Road,"Large Price Reduction!Private oceanfront complex of just 5 units. Second to none in charm, stunning views, large oceanfront entertaining space, peaceful comfort and relaxation! Gorgeous Modern Oceanfront with: *marble floors
*stunning ocean views from every window
*hurricane rated glass doors & windows
*3 full baths-2 ensuite and 1 conveniently located downstairs
*top of the line appliances
*granite kitchen counter-tops
*sparkling glass & marble mosaic back-splash
*modern purple heart wood floating staircase
*modern linear shower drains
*modern tankless toilets
*propane powered cook-top
*instant propane powered tankless hot water
*large round oceanfront patio with great breezes & of course views
*located just steps from Public Beach
*ocean access
*pool *small, private complex of only 5 units No small children please, pet possible with pet deposit, non smoker preferred.
Available now for a 6 month leaseContact Jackie at Ritch Realty Ltd
WhatsApp
345-925-5652Visit us at: www.ritchrealty.ky
Member of Cayman Islands Real Estate Brokers Association
www.CIREBA.comRMLS#505
CI$2500 per month",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/06/05/2164223.jpg,West Bay,"2,500",Ritch Realty Limited,$,Oceanfront Stunner!,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
"Emerald Beach Club,South Sound Rd","You can’t get more oceanfront than this. Situated on beautiful South Sound beach, overlooking the wreck of the Pallas and protected by the South Sound Reef, this property is a small, friendly complex where rentals are rarely available.This 2 bedroom, 2.5 bathroom condo is beautiful and well-maintained having been renovated and owner-occupied since purchase 6 years ago. High ceilings increase the feeling of space and light in this 1,816 sq foot unit which enjoys open plan dining, kitchen and living areas on the main floor whilst the bedrooms are upstairs. If outside living is more your thing, enjoy dinners on your private balcony overlooking the Caribbean Sea, or set up a hammock on the master bedroom balcony for a lazy day of reading.Monitored security alarm, Nest thermostats throughout, Nest smoke and carbon monoxide detector, 55-inch flat-screen TV also in situ along with all the other usual amenities. The property also includes a rare and coveted 255 sq foot garage for extra storage and to keep your car out of the sun.The neighbourhood is safe and friendly, with immediate access to running, walking and biking routes, and is close enough to town and schools to skip traffic when it returns to pre-COVID levels. Beach walks, snorkeling, kayaking and other beach activities are mere footsteps away.6-month rental at $4,000 + utilities. Pets possible with pet deposit. No smoking inside the condo.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237477.jpeg,South Sound,"4,000",EmeraldBeach,$,Beautiful South Sound beachfront rental opportunity,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
"69 Verneice Drive,LookOut Garden,KY1108","One bedroom apartment for rent
Utilities not included located in Bodden Town
For $750.0
No pets
For more information please what’s app at 548-0437
Serious enquires only",,Bodden Town/Breakers,750,Tiya,$,One bedroom Apartment for rent,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
harbour dr,"All inclusive corner office space available downtown on the waterfront starting at $1200/month.The shared space is bright with a large window overlooking the ocean. Located in a clean and secure building with lots of parking available.Comes fully furnished and all utilities, parking, Super Fast WIFI, printing, coffee, filtered water, storage and other amenities are all included. There are also 2 closed conference/board rooms that are free to use.$1000. Other spots available for $500. Call or msg 925-1725.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237060.jpg,George Town,"1,000",V_2,$,ALL INCLUSIVE Corner Office Space | Ocean Views,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
"15 Comer Dr,Walkers Road,KY1-1111","Only Single Professional.
Split Utilities with 2nd Tenant
Only WhatsApp 525-4428",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237161.jpeg,George Town,"1,000",Roger_3,$,Bedroom w/Bathroom Walkers Road,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
"Cardinal Plaza,Cardinal Ave, George Town","Are you looking to downsize or find a more affordable office space location in downtown George Town?We have several offices starting as small as 180 square feet up to 400 square feet. Some offices have ocean views of George Town Harbour at a distance while some of the smaller units are interior units. Some offices are also partially furnished. All spaces are on upper floors of the building with elevator access. In addition to bathrooms, some offices also include shared conference room and kitchen areas. Prices range from CI$450 - CI$1200 inclusive of CAM & Utilities. Call/WhatsApp 345-924-9249 or Email  for more information or to arrange a viewing.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/06/09/2172072.jpg,George Town,450,Sean_22,$,Affordable Downtown George Town Office Space on Cardinal Avenue,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
"28 Poinsettia Lane,Tropical Gardens","1 bedroom available in shared 2 bed 2 bath apartment located in Tropical Gardens available August 1st 2020 or possibly sooner. Only 1 Tenant allowed. Unfortunately no couples or room sharing.The other room only has 1 Tenant.This room has it's own bathroom. NO SHARING OF THE BATHROOM!!Convenient location, close to George Town/Seven Mile Beach, schools, shopping, etc.Entire apartment approx. 1450 sq ft.Bedrooms and living space on separate energy efficient A/C units which makes controlling your utility expenses easier.CI$950 pm (Utilities not included). No pool. No pets.Lease available for 6 month or 12 month long terms.Security deposit of one month rent required.Contact 925-3101 or send email through Ecay.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237298.jpg,George Town,950,Sean_22,$,1 BEDROOM IN SHARED 2 BEDROOM APT AVAILABLE AUGUST 1ST 2020. YOUR OWN BATHROOM!,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
West Bay Road,"This spacious townhouse has two bedrooms upstairs and one downstairs for easy living and perfect for privacy or sharing. Small well managed complex just at the end of West Bay Rd near Cemetery Beach. Walking distance to the beautiful turquoise sea and shopping, bank, gas station, grocery store, church and bus stop. Kitchen is fully stocked with everything you could want, nicely decorated and private outdoor patio! Just steps from the bus stop, perfect for students or anyone not wanting to use a vehicle. Come see - Available August 1st for long term lease. Sorry no pets or smokers. RMLS#614 CI$2500 per month.Contact Jackie at Ritch Realty Ltd
345-925-5652Visit us at: www.ritchrealty.ky
Member of Cayman Islands Real Estate Brokers Association
www.CIREBA.com",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237316.jpg,West Bay,"2,500",Ritch Realty Limited,$,West Bay Road 3 Bedroom for Rent,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
Batabano Road,"Calypso Gardens 5
3 Bed | 2.5 Bath | 1750 SqftAvailable 1 August 2020 for a 1 year lease.Gorgeous, quiet, townhouse located within eyesight of Morgan's Harbour making it easy to walk to the popular Calypso Grill and Catch Restaurant. Seconds from the by-pass you'll be on Seven Mile Beach or the Yacht Club within 5 minutes, Camana Bay in 10 and George Town in 15. This property is only a couple of years old with a contemporary, fresh finish and a fantastic landlord. No pets permitted. Contact Jennifer Powell for more information
345-917-8335
RMLS: 582
Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237233.jpg,West Bay,"2,800",TeamPropertyCayman,$,Quiet Family Townhouse | Incredible Location West Bay,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
"16 Poinsettia Lane,Tropical Gardens","1 bedroom available in shared 3 bed 2 bath apartment located in Tropical Gardens available August 1st 2020.Only 1 Tenant allowed. Unfortunately no couples or room sharing.The other 2 rooms only have 1 Tenant each.This room has it's own bathroom. NO SHARING OF THE BATHROOM!!Convenient location, close to George Town/Seven Mile Beach, schools, shopping, etc.Entire apartment approx. 1450 sq ft.All rooms and living space on separate energy efficient A/C units which makes controlling your utility expenses easier.CI$750 pm (Utilities not included). No pool. No pets.Lease available for 3 month or 6 month long terms.Security deposit of one month rent required.Contact 925-3101 or send email through Ecay.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237250.jpg,George Town,750,Sean_22,$,1 BEDROOM IN SHARED 3 BEDROOM APT AVAILABLE AUGUST 1ST 2020,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
Nickel Lane,"Located on a quiet street in West Bay, this Jewel Manor rental sits in a perfectly quaint apartment complex.Recently renovated, it has solid wood cabinets, granite countertops and stainless steel appliances. This 2 bed, 1 bath apartment is minutes away from Seven Mile Beach, Foster's IGA (Republix) and the West Bay bypass.Available July 17th.For more information contact Holly Webster:
923-1559
https://www.evronrealty.com/property/52-nickel-lane-west-bay-grand-cayman-ky1-1305-ky",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237382.jpeg,West Bay,"1,450",Evron Realty,$,"Jewel Manor - 2 bed, 1 bath",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
51 Nickel Lane,"Located on a quiet street in West Bay, this Jewel Manor rental sits in a perfectly quaint apartment complex.Recently renovated, it has solid wood cabinets, granite countertops and stainless steel appliances. This 2 bed, 1 bath apartment is minutes away from Seven Mile Beach, Foster's IGA (Republix) and the West Bay bypass. Available July 17th.For more information contact Holly Webster:
923-1559
https://www.evronrealty.com/property/52-nickel-lane-west-bay-grand-cayman-ky1-1305-ky",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237358.jpeg,West Bay,"1,450",Evron Realty,$,Jewel Manor ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
South Sound Rd,"2 bed, 2bath second floor condo. Tennis court, pool, pet friendly strata. Brand new AC system just installed. Large balcony.Super apartment close to South Sound boardwalk, Grand Harbour.  Great area for biking and kite surfing! Complex boasts Tennis Court, pool, and is pet friendly.Unfortunately access to show, not available until 3rd August. Phase 1 bulit in 1991.CIREBA member
ML411907",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237449.jpg,South Sound,"265,000",Amber Yates,$,"Sunrise Phase 1, 2 bed, 2 bath           FOR SALE",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
"96 Sound Way, George Town","Located close to AL Thompsons
All Utilities & Wifi included
Shared kitchen but has its own bathroom
Coin laundry on site
Security deposit of CI$400
Call Mark on 925-6991 to arrange a viewing",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237350.jpg,George Town,750,Developer,$,Room for rent in George Town,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
"Armada close,Armada gardens villas","Room for rent
- One bedroom in a 3 bedroom apartment.
- $800 per month  utilities separate
- No deposit  required
- Own bathroom
- Central air
- Hot water
- Washer and dryer
-Available immediately Contact 9274066",,West Bay,800,shelly-ann spencer_2,$,Room for rent ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
Shamrock Road,"Prime front corner location (1613 sq. ft.) in the fantastic and foot busy complex of Grand Harbour.
CAM (Strata) is included.Available NOW!CONTACT A BCQS RENTAL AGENT TO ARRANGE YOUR PRIVATE VIEWING TODAY!RISA GOLBERG 326-4790 
COLLEEN MARTIN 325-6538 FOR MORE UP TO DATE LISTINGS, YOU CAN VISIT WWW.BCQSRENTALS.COM",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237565.jpg,Red Bay/Prospect,"5,500",BCQS Rentals,$,Grand Harbour 1613 sq. ft.  Prime Front Corner Commercial Space,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
"Barnet Close,KY1-1108","2 bed/ 2 bath fully furnished located in a welcoming area of West Bay. This spacious property is located close to schools, bus route, Fosters Republics, West and 7mile beach. - Brand new furnishing and SS appliances
- No pets
- 2,000 per month (price negotiable)
- kids possible
- Available Now! Contact Chris to schedule a viewing,
Email: 
Phone: 928-0114 (whatsapp msgs welcome).",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237470.jpg,West Bay,"2,000",ChrisE,$,"2bed /2bath, West Bay $2,000 ",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
Sunrise Phase 1,"Sunrise one bedroom ground floor apartment.  Rent includes TV and WiFi.  Tennis Court and Swimming Pool on site.  Fully furnished, bathroom remodeled 2019.  Pets accepted. Six month minimum.  Please call 927 0294 to arrange a viewing.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237541.jpg,South Sound,"1,550",Peta Adams,$,"South Sound, Sunrise, One bedroom, inc. TV and WiFi",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
Elgin Ave,"Midtown office space, second floor. CI$25 sq. ft. plus CAM CI$6 sq. ft.2770 sq. ft. OR 1385 sq. ft.Available Now.CONTACT A BCQS RENTAL AGENT TO ARRANGE YOUR PRIVATE VIEWING TODAY!RISA GOLBERG 326-4790 
COLLEEN MARTIN 325-6538 FOR MORE UP TO DATE LISTINGS, YOU CAN VISIT WWW.BCQSRENTALS.COM",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237621.jpg,George Town,31,BCQS Rentals,$,Mid-Town Plaza Office Space - George Town,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
Sparky Drive,"Highgrove is Cayman’s newest and most intelligently built business park. It offers extremely strong hurricane resistant office space, climate controlled storage, warehousing and disaster recovery suites. The solid concrete and steel construction is high and dry at 9’ above sea level and has 7” thick poured concrete walls. This efficient & effective building system exceeds the Miami Dade hurricane code.• 22ft above sea level
• Hurricane resistant
• Solid concrete & steel
• Sizes to suit your needs
• Night time security on premises 225 SQ. FT. STORAGE SPACE  Available NOW!CONTACT A BCQS RENTAL AGENT TO ARRANGE YOUR PRIVATE VIEWING TODAY!RISA GOLBERG 326-4790 
COLLEEN MARTIN 325-6538 FOR MORE UP TO DATE LISTINGS, YOU CAN VISIT WWW.BCQSRENTALS.COM",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237605.jpg,George Town,600,BCQS Rentals,$,High Grove Storage Space 225 sq. ft. George Town,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
Shedden Road,"Ground floor office Space located in the heart of George Town.
CAM included in rent.
647 square feet
1 parking spaceAvailable Now!CONTACT A BCQS RENTAL AGENT TO ARRANGE YOUR PRIVATE VIEWING TODAY!RISA GOLBERG 326-4790 
COLLEEN MARTIN 325-6538 FOR MORE UP TO DATE LISTINGS, YOU CAN VISIT WWW.BCQSRENTALS.COM",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237593.jpg,George Town,"1,500",BCQS Rentals,$,Artillery Court 647 sq. ft. Office Space - George Town,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
South Church St,"Short Term monthly available for one month or up to October, 1,000 monthly.
Occupancy for one single working person only. ID & Proof of Job required.
All Included - Electric, Water, Wifi, Cable TV, AC, fully furnished with kitchenware also.
Sorry, no kids, no pets, no Nau, no indoor smoking.
Quiet Safe area with Pool and Coin Laundry on site premise.
Convenient Location",,South Sound,"1,000",SFS,$,Short Term Rental Studio South Church St,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
Bobby Thompson Highway,"Garden Retreat
Bobby Thompson Way
3bed, 3full bath
Asking $2,500 per month
Available around August 15th, 2020Fantastic, open plan, 3-bedroom, 3-bathroom, end unit townhouse in the beautiful Garden Retreat complex. This is the perfect location for shares or a small family, close to schools and close to town, you'll never have to sit in traffic! The townhouse comes with HUGE screened in back patio where you can relax and spend quality time with your family. There are 2 pools and a Gym to keep the fun going. This is a well-maintained property. Two numbered parking. Centrally located just minutes away to George Town, shopping, and schools district. Come and look, you won't be disappointed!For more information or to organize a viewing of the property please contact
Valentino Salvi  at 325-6372 or visit www.utopiacaymanrealty.com",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/09/2237675.jpg,George Town,"2,500",Utopia Realty,$,FOR RENT  GARDEN RETREAT 21    3BED/3BATH $2500,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=1
South Sound,"This spacious, ground floor 2 bed/2 bath condo is perfectly located close to schools, shopping and Central George Town. High ceilings, beautiful kitchen, big & bright bedrooms, king size bed in the master, renovated bathrooms, split A/C. Must see!Available NOW.CI$2,150 per monthRMLS#543Please call Gigi 326-2590
or e-mail: ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222821.jpg,South Sound,"2,150",Gigi,$,SPACIOUS 2 BED/ 2 BATH – SOUTH SOUND – PARSONS CIRCLE,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
CREW ROAD,"FOR RENT 2/2.5 BEDROOM/BATH.  CENTRALLY LOCATED NEAR GYMS AND SUPERMARKET.  WITHIN 5 MINUTES FROM TOWN. FAMILY FRIENDLY.  LARGE POOL AREA.  SORRY NO PETS
CALL OR WHATS APP 9288353",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/07/2232989.jpg,George Town,"2,000",Carmen_5,$,Modern 2/2.5 apartment,KYD,https://ecaytrade.com/cayman/real-estate/for-rent
